altitude,vertical_speed,rate_of_descent,flap_deployment,spoiler_deployment,brake_input,pitch_variability,roll_angle_variability,hard_landing
500,294,245,13,48,5,3.195732297712689,5.590562070081344,0
1000,697,503,39,5,27,1.5888071274762419,1.3332045198120726,1
2000,306,569,26,34,20,2.564478207619456,5.742976341549018,1
1500,453,285,68,44,35,2.730945459714353,1.8881041224581439,0
1500,377,324,49,3,12,4.581665349452479,1.9002116735526449,0
2000,461,189,24,14,10,5.4965102958204035,1.2664836590379538,0
50,235,494,5,25,19,3.68753927268759,4.504563186700409,0
100,541,218,80,29,21,1.3541118831744283,1.0173345681783483,0
2000,785,582,14,48,34,5.581500388414986,3.6764462595962075,1
2000,322,426,20,48,39,3.3184637526623018,1.9815109183143718,0
3000,690,369,33,26,4,5.586335404381911,3.8861028594391245,0
2500,487,228,59,28,26,4.839206995765581,1.5273766088059002,0
100,406,424,82,48,10,4.449031108944771,3.3875001003609073,0
500,670,231,85,10,14,3.376916468879883,2.5697018232186135,0
100,591,472,82,0,30,2.712250813542462,1.3556570456509651,0
50,201,264,84,11,29,1.9028051834419293,2.2330284688937443,0
2000,760,266,81,20,31,4.721231106887658,3.438006007910984,1
1000,227,336,75,1,23,5.286762850951399,3.1705104498601173,0
2500,679,309,14,46,27,4.347724612540658,1.1469530595152924,0
1000,598,552,20,26,7,1.8661867024808108,4.957748193343074,1
50,586,380,9,0,8,2.1184767051736926,3.765173604550932,0
50,438,335,17,38,2,5.68315817465828,1.2827612795560908,0
1500,524,491,30,22,37,1.175165002164478,3.3589330080567468,0
3000,507,590,34,2,4,5.94966172532009,1.0965194390638102,1
1000,326,208,30,25,13,5.760999744316734,5.247495438961499,0
1000,540,441,65,1,27,2.294913698372087,4.002917513067899,0
2000,568,319,19,27,33,2.1596542349936216,1.8704995392843384,0
50,495,386,63,13,30,5.1545490181825,3.1792562290461497,0
3000,680,219,3,31,21,1.346594566211666,3.019551911745841,0
3000,583,464,31,19,23,2.40607667666258,2.1407421894470993,0
3000,279,248,73,21,9,4.635484120441446,2.437319353515585,0
1500,458,421,88,7,17,2.96593200252492,2.53640512652895,0
500,252,464,55,32,13,5.319394081362165,3.275878231105646,0
500,726,279,81,9,31,2.142370828665657,3.6899026482251958,1
3000,364,329,74,23,39,3.105457021457418,2.5586684094223777,0
2500,629,597,100,48,32,2.663993614028383,4.688808873550334,1
1000,540,449,80,38,14,1.9009285976860615,3.294400962900172,0
2000,712,211,52,8,3,1.3620035258649628,1.7289370266543183,1
3000,667,439,51,16,7,2.9003590032646493,4.580264216150337,0
1500,359,151,64,47,39,4.003215019355832,2.926154935003243,0
1500,535,158,88,3,27,5.410421196811821,5.621013334550178,0
500,510,507,88,20,31,2.6485646903387385,1.874261070587405,1
3000,222,542,38,45,12,4.564661989455761,1.991637216273069,1
1500,375,373,22,17,10,5.84580882704145,4.50400193928035,0
1000,728,597,4,45,8,4.808355652506403,1.077483018699978,1
2500,742,559,52,19,31,1.4871218692175168,1.736638721027174,1
1000,458,499,49,26,33,2.801412517818962,5.931105629835819,0
100,673,255,14,19,24,3.8745201491117154,4.780538238334534,0
100,658,196,46,20,27,2.3125967234827813,2.8157477302396337,0
2000,465,413,66,4,5,4.397332832077749,4.1603010725249625,0
1000,416,333,43,23,40,5.575379979866764,2.4083956804510405,0
500,518,417,16,7,36,3.1876319866921774,2.532671373816749,0
500,686,161,55,25,35,4.533997350579971,2.4772375991332765,0
100,282,540,63,18,14,3.5417296128901685,5.032131189198011,1
1000,646,426,88,8,12,3.758377784638353,5.4217084504975706,0
1000,444,154,78,23,22,3.838479351637553,2.595159593838683,0
3000,546,203,20,17,13,4.984949757443696,1.3953650335372494,0
50,436,462,74,36,22,4.700131424897881,3.684941823993625,0
2500,407,476,52,24,7,2.5914810899276115,2.185698726543185,0
500,215,198,89,23,15,3.6976027195847645,1.3973829605936752,0
2500,262,467,10,21,31,4.965435398526038,5.363708085479939,0
500,221,174,16,38,28,5.715705816713126,1.0089408838203087,0
2000,703,220,82,13,39,5.5492152047187595,4.18684677786767,1
50,526,462,85,47,19,4.512519795744875,2.067183618053349,0
500,671,168,25,27,5,5.934947663995889,3.2623493434989568,0
1500,384,169,59,15,35,3.5471255149649714,3.844607684016384,0
1000,345,526,21,27,2,5.678995022380677,4.71163073984269,1
1500,452,471,7,38,0,2.6266792152424294,3.1673881095598397,0
100,222,343,73,0,27,5.990813375013777,2.3895132123614444,0
1500,771,451,57,46,34,2.08631418309907,5.818351532080115,1
2500,465,274,68,32,5,5.967271972762769,1.712864141194991,0
50,614,171,8,12,23,4.281995006207373,2.522822087850562,0
500,631,179,73,34,16,4.6143388005480315,4.357579830782173,0
100,438,250,91,47,6,2.2746984216624755,2.982641154978992,0
2000,643,310,80,20,31,2.050173081611973,4.653971729234955,0
3000,530,317,84,49,33,2.8457783118361313,3.7249531982131896,0
100,307,460,45,23,14,4.937143895637325,3.9239060696886945,0
500,214,222,80,5,12,2.7790482192040216,4.765618363349463,0
1500,437,182,91,22,14,3.8668218584076466,1.374219071152334,0
1500,583,215,94,23,31,3.189874032429822,1.8816905755064757,0
2500,682,566,95,33,34,1.8531311006297542,1.8234580482556093,1
3000,530,322,57,28,1,4.826871562206078,3.464007794687026,0
1500,332,331,58,26,24,3.634891339662217,3.5391628055333157,0
3000,322,386,41,3,7,1.2991293195488192,1.04148940213493,0
3000,287,302,100,32,39,1.9407467105766014,5.764936452078391,0
2000,790,302,5,2,13,2.768911645556654,5.867216772990172,1
100,288,534,100,46,30,3.4563709376952074,4.426185047648193,1
100,333,535,52,25,14,1.0528198711002248,1.8679455396800895,1
1500,724,328,75,15,24,5.908576453760203,2.2629083922903668,1
1000,328,198,93,1,10,2.5557407986740786,3.4663147325532786,0
2500,501,591,36,47,39,3.1584194709642945,4.4967433189171,1
1500,484,443,29,45,17,3.608396540673104,1.6686156055414942,0
1500,487,198,76,49,12,4.991166482851898,2.026175342967131,0
100,254,460,52,13,20,5.95168226331371,1.846556121312717,0
500,205,446,67,40,14,4.724500987607792,3.5787432320029504,0
100,587,206,98,22,21,2.423710253193364,1.173271016445169,0
50,502,229,86,40,14,1.2241002550151627,1.0319057463318755,0
1500,232,474,93,39,0,5.824818531554531,4.622518339320084,0
2000,721,245,74,7,28,1.561393773352013,3.6074608447762144,1
1500,563,168,96,3,3,3.1270302053884134,4.195754623556506,0
3000,458,218,69,26,3,1.607610741862844,5.669024541350711,0
100,382,593,57,11,4,4.301891857142127,1.913618945892705,1
500,604,227,67,12,16,3.2238297921903034,2.9919976264797423,0
100,461,385,51,10,29,5.625731065937984,4.219365416479884,0
2500,784,471,41,0,26,1.2330640869071077,1.9536992657053385,1
1500,283,536,90,43,21,1.8839751432862513,1.3391771013585538,1
50,759,170,89,36,17,4.1844789624802425,4.3197408290322175,1
1500,514,401,54,40,28,4.731596555033658,5.638971906276047,0
2000,526,281,14,36,24,4.509468984084924,1.4171571686689997,0
50,342,460,13,32,4,4.393790312814283,1.4372280460135207,0
100,387,499,78,5,2,2.239811328385399,2.672417785948683,0
100,634,524,57,41,11,1.8102749573007484,2.3504431469890994,1
1500,433,369,20,49,14,4.8890448818662176,4.44034558183826,0
100,625,461,67,24,18,5.981131041685902,4.0943170411715055,0
500,306,439,58,4,16,2.5776864860902955,2.3959543815897844,0
2000,574,319,39,29,1,2.6374598251145036,1.8997158921810149,0
100,730,165,33,37,14,1.8288948958861864,4.93649352195808,1
1000,629,409,17,1,6,4.885587645830546,5.494464386928701,0
1000,759,569,23,41,20,4.680341178298971,3.069860326611574,1
1000,207,235,82,38,3,3.9909842940255293,1.93722138453004,0
2500,255,537,26,41,4,4.50696441338375,4.675718390251427,1
2500,639,163,21,31,33,3.5965904367022214,1.9431503218336972,0
2000,231,276,23,47,7,4.105955539153685,5.858056127177407,0
2500,676,373,87,1,28,2.3421883862417157,1.126246676145077,0
100,477,205,10,39,22,5.005608187656429,3.8520621823680443,0
1500,653,409,59,29,6,3.430886962301812,5.298221634694555,0
1500,316,579,66,3,9,1.2373904209003448,4.203487328922943,1
2000,335,296,30,41,6,5.266108484662931,1.8972332099901625,0
2000,526,363,65,26,39,2.238928864014413,2.9250905246763335,0
2000,749,171,50,1,35,2.8795752497697213,4.877854066836617,1
3000,245,476,27,16,13,1.5057278180873992,4.689920551629055,0
50,216,357,92,21,34,2.073359807360463,5.4292335269913625,0
2500,647,482,62,17,12,2.4876010409223155,2.9082441053424,0
50,413,223,17,28,29,4.926109162350073,2.6772675397879184,0
1500,501,314,3,21,26,2.614907489506288,5.88582648325526,0
1000,469,403,40,37,27,1.584219217404418,5.035827662555851,0
50,428,320,21,35,17,5.413399503133623,1.5731536969826818,0
500,458,594,33,39,28,3.9164254649363928,1.6165947242619318,1
100,340,301,80,47,23,2.553079657924657,4.761020857083359,0
500,486,221,84,25,39,3.7422557301172006,5.726116833733393,0
500,482,219,93,49,32,5.355163983682352,1.5674630096377058,0
500,257,341,45,16,29,1.5209574133197747,3.6533495338109265,0
2500,400,445,59,9,26,4.888407494453025,2.0183891106604364,0
100,386,155,57,30,38,1.8347105229727299,2.3855761068956047,0
100,606,368,37,13,37,4.894433158037884,4.899664106395836,0
3000,651,348,75,22,15,3.9720469561947187,2.2520273665087416,0
100,212,291,33,31,16,1.879305570649684,2.6919992591884983,0
500,337,276,4,22,17,1.090546410052383,5.102841224546154,0
1000,710,366,42,11,31,2.5851795251297145,1.671293387841701,1
2000,795,448,40,11,36,1.0765800132937207,1.4197962858073985,1
1000,359,510,87,16,6,2.8030179386301572,2.6570069705084127,1
2000,593,247,100,20,21,2.2789139113948655,1.2566330339758744,0
50,209,358,51,50,32,1.0927726674392542,3.984945820049805,0
1000,585,595,35,11,14,1.805554515708537,3.245833808459735,1
3000,776,536,32,0,28,5.5755822194973454,4.973699931153559,1
100,360,528,60,45,18,1.892525200947396,4.492662074795025,1
1500,578,463,26,39,20,4.666974354390341,4.128038435932554,0
500,561,233,64,14,14,5.219096223801181,4.1903687149020925,0
3000,684,504,59,26,1,1.430196001921137,3.5148074649157417,1
1000,720,395,81,6,34,2.5269846091010058,5.573818424080191,1
2500,580,245,99,3,9,1.0202376834651008,2.4023913199044546,0
500,609,563,96,44,12,1.157798744886205,1.2133929091131126,1
500,234,292,11,36,20,1.0466622834662163,1.088294629123387,0
50,456,572,59,38,38,5.708864759624193,3.751499555642681,1
100,470,442,58,34,37,5.750598238471121,4.404965226487176,0
2500,226,239,100,44,37,1.7720979322940762,3.036619684693129,0
1000,578,452,19,13,27,3.891301140139959,5.986383159904839,0
2000,492,331,72,41,30,2.926934573756678,5.527891855898754,0
2500,633,498,22,43,0,1.8563193855814255,1.6853086492636262,0
1500,763,412,94,10,37,2.890100473735687,1.3516342292076908,1
2500,431,360,83,22,13,2.768986727064093,2.744041371727336,0
2500,455,407,17,0,12,2.6294649560638463,2.121573413765124,0
3000,550,440,77,3,27,1.264992462879155,2.8292842907324323,0
3000,222,195,93,48,4,4.850556926081996,5.09259902155395,0
1500,407,484,68,33,10,3.8183585996429987,4.355129202114688,0
2500,453,429,98,22,39,1.4654623480108222,5.992593947740577,0
2000,276,595,72,0,2,2.2992408668606563,1.6436566279263445,1
1000,593,285,38,41,3,1.79953444755742,1.3198953596408616,0
2500,601,582,18,8,36,1.8490924591021642,3.5658289511864445,1
1000,409,340,19,33,29,2.065945130353577,4.390781912511839,0
100,772,429,42,8,21,2.9090452763775674,3.5179371569919526,1
1500,275,371,64,31,35,5.142323420728101,2.0185845428961287,0
50,467,526,86,35,16,3.2564377200376136,3.738335011627124,1
2500,324,325,0,27,1,4.5209173903687825,5.492142886727646,0
500,354,382,5,47,10,2.403260367338574,3.637535934950763,0
2500,627,150,50,22,4,2.3620999341376128,1.4359896529320566,0
1500,487,524,7,35,18,3.27915202848814,3.947534895476644,1
2500,783,332,24,19,14,1.6116099898505372,5.592883672474855,1
1500,660,476,13,21,39,3.8854119657607895,3.060025700166256,0
3000,367,331,93,24,14,5.317688865461519,2.489523532537823,0
100,277,417,37,15,28,5.817993629423895,3.5523475937358424,0
500,651,521,34,32,19,4.825952006922911,5.6797400383212615,1
100,272,294,34,38,12,5.916698412222635,5.519254387114502,0
500,419,506,97,0,19,2.6397860573959773,2.138681666758083,1
100,407,328,48,35,24,2.092594784796748,3.0454490483803163,0
3000,564,518,94,50,34,3.6955133722117868,5.669305350785428,1
3000,325,479,6,45,32,5.583189581700745,1.2153898388455078,0
50,609,263,41,33,3,2.738361730170279,3.105914046998101,0
3000,466,440,78,8,1,5.1295953814892705,1.7363290240021385,0
100,759,361,14,44,13,5.39418423842186,2.3124419323192207,1
1000,291,447,71,43,9,1.3313149228178802,5.439605562031378,0
2000,516,474,44,44,40,2.0646742427106783,5.921899999350317,0
1000,571,250,34,49,15,2.501844224289683,3.9485933307447714,0
50,280,151,99,14,0,2.6310119037098754,3.369540418238323,0
50,202,589,63,1,23,5.672984487381308,2.9291341986780686,1
1000,415,237,40,17,19,5.756631595491241,5.9432676620724925,0
500,655,379,0,3,8,4.358830943913567,2.8716353487608988,0
50,263,192,81,38,4,5.4915115790932,3.7108209840017445,0
2500,439,444,83,34,36,2.233294449164577,3.2269539264618987,0
100,674,432,10,9,35,3.95774609971734,5.073912045900904,0
500,759,508,77,19,7,4.977770576002026,5.163302363480041,1
100,565,282,26,4,2,3.1115363000432636,1.9442133064061953,0
100,270,177,3,48,39,5.244398703441185,3.185321252320778,0
2500,594,324,19,38,38,2.677050303434383,2.0733214871729424,0
1500,679,527,39,46,1,5.014520553200559,2.7830985072648033,1
2000,326,228,80,37,6,2.981890450750377,5.296291421059249,0
50,697,539,76,27,28,5.91964255309388,1.3885949685239154,1
500,688,172,57,30,25,3.2009440920897982,5.3796866972160196,0
100,451,306,22,5,18,5.852556181314819,3.485069214835111,0
500,220,168,75,40,12,2.0718834091604856,2.1248132449005155,0
50,762,594,32,46,19,1.890164383175055,4.815702415817594,1
1500,297,284,87,9,33,3.2119162228208906,5.714739581203881,0
3000,532,340,64,0,25,1.2785461434653231,2.797187899723593,0
50,688,177,82,50,5,4.574335599049948,2.73135053120091,0
3000,638,417,36,47,15,1.7938343463862179,1.7612463089113475,0
1000,678,354,63,1,2,3.7015451259083996,3.304589828994652,0
2500,239,173,41,17,40,3.1507342676622487,2.9588650097731986,0
2000,501,513,86,42,18,4.81859311917731,2.2634069249945323,1
2000,521,529,92,18,16,4.231838919682039,4.119735482406282,1
2500,519,205,89,44,35,4.00403453788531,3.951568363955241,0
3000,630,491,54,14,19,2.667012934866103,2.6556831442850903,0
1000,515,447,72,0,11,2.361058634881205,1.0926642023130986,0
1000,216,169,22,16,15,4.260870746450642,3.1993151313678077,0
500,321,230,26,22,20,2.4343896333283706,1.893323750725807,0
50,210,316,79,49,3,5.59438178963822,5.045460316822904,0
2500,605,412,4,19,1,4.001919668658315,2.026761171353801,0
1500,735,426,95,14,11,2.0520182539121326,4.24067072696781,1
1000,603,555,5,29,3,2.9413834564980927,1.9070605132371194,1
2000,309,437,4,36,28,1.7681268622110742,1.4643112646600662,0
50,384,304,36,2,25,4.599072836042502,1.8538000190028021,0
500,681,242,33,4,17,3.1762572043860207,4.748172270700343,0
100,218,498,37,24,29,3.6157309959903356,1.6942234950272497,0
100,797,150,50,4,3,4.765851324901765,4.206876486155417,1
1500,548,552,46,49,3,5.967709666767682,4.942456756893295,1
1500,783,345,19,31,8,3.9502241175934403,4.1875679347713515,1
1000,511,407,11,23,40,3.672385922718687,2.8482995715932216,0
3000,232,225,97,6,24,4.315571677953179,2.305213284671407,0
100,591,350,7,46,21,4.386450857941927,4.752402893260857,0
3000,590,427,95,23,30,2.3463866161212437,2.653637803456485,0
3000,703,514,44,39,32,5.27115685295748,5.094383269272609,1
3000,242,430,67,4,29,2.9982252244960153,2.5142574161040843,0
2000,731,530,19,24,22,4.934767290586863,4.707983999231746,1
1000,657,214,1,22,25,3.73020263039272,3.721577648475976,0
2000,799,575,96,43,8,3.8568704078663227,4.770007487916867,1
1500,648,265,99,8,31,4.185196004660949,2.6266548046635103,0
500,679,509,28,44,26,1.8751068525869017,1.1417479487771267,1
1500,531,314,62,8,20,2.0042892490894713,3.1509207861092783,0
3000,732,441,49,42,33,1.7050472914194423,1.8808658378337875,1
1500,445,155,17,0,20,3.8689267304131576,2.672675648712027,0
2500,472,212,57,4,40,5.459253483907826,1.2391469991684088,0
500,222,220,44,40,1,1.2744247176821557,2.4728292824670497,0
1000,435,562,56,15,23,4.115725228826069,2.3070804007971217,1
100,446,389,87,32,19,1.6353193558061103,1.990915961970088,0
1000,540,155,2,19,9,3.22087732485398,1.722917874242381,0
1000,787,429,90,35,20,1.7339137655442736,3.2011793489379756,1
2500,443,478,97,49,34,1.475453349272873,2.250627157886128,0
3000,593,568,29,29,32,2.41384845897642,5.956038840438913,1
50,765,239,14,40,28,3.1787676582818394,3.8782705237568544,1
500,686,151,46,31,35,3.498467815162737,4.851528635412544,0
2500,346,379,25,0,14,5.283227163956806,1.7030254203468584,0
50,201,341,96,8,15,5.712322437705299,5.1249682063646915,0
1000,209,498,90,24,9,1.047005829707547,2.012472889059228,0
3000,383,537,67,33,38,2.8535450213282703,3.8964598913147093,1
100,299,559,44,41,22,2.848651818660399,5.044130927017239,1
2000,705,227,25,35,31,3.5027085260728565,4.615567466850271,1
500,491,559,11,35,19,4.312692939989391,5.202788642812081,1
50,732,156,63,4,9,5.906035524012077,5.876187257743292,1
3000,742,395,50,1,26,3.07339916777394,5.684494586016957,1
1000,783,358,78,2,34,3.6845407013123275,1.5788661136293611,1
100,450,241,78,19,10,5.996338914823484,1.8270920140998834,0
50,325,228,29,46,33,1.7778377189681924,3.1357852251565683,0
100,455,474,45,35,12,1.1639560898121628,1.5637791127357494,0
1000,532,217,5,27,30,5.830361952849412,1.5503730944651908,0
1000,785,520,61,3,19,2.754300843850455,4.25294121973046,1
100,730,485,51,4,30,1.345551665222793,1.5901171496234248,1
500,731,345,86,42,16,3.3601764214658982,2.5053954110232324,1
100,278,402,12,44,33,2.152136745753103,2.61340404933768,0
3000,547,233,65,1,18,5.6900886351097215,2.246468601064708,0
1500,468,213,91,39,25,1.6192731910772924,2.3153600896220032,0
1500,225,314,11,15,15,5.256220553055674,5.058116909360244,0
1500,600,322,79,0,25,5.831623186137764,4.693104921586099,0
2000,779,246,92,28,11,1.6966469921852414,3.4918944194740726,1
3000,441,172,55,0,15,3.1377052503451592,5.576975150631913,0
2500,714,423,90,16,27,3.8488045135001485,1.3300956777933166,1
2000,729,264,66,30,35,3.321368091342735,4.942562875039207,1
2000,526,452,65,48,6,4.87890235640503,3.9119670151262715,0
2500,667,408,44,3,26,3.4675860152794744,4.428595537026675,0
1500,456,418,52,45,30,3.811044387988095,2.1385427529190864,0
3000,666,249,63,48,4,1.8051855529631076,1.2029199357386418,0
100,490,478,83,44,31,1.7655070942758564,5.794537369568674,0
100,651,306,83,31,34,1.034894691698693,3.522877366612807,0
100,235,463,84,50,20,3.7780456528469513,4.686495583018256,0
100,266,543,28,34,11,1.5784562711266916,5.515559240671193,1
100,646,182,10,48,40,2.7243191933995785,1.5128048291830922,0
2000,374,565,88,5,36,4.912416810414285,2.0289620475107286,1
2000,631,212,11,49,32,1.6710184191063384,5.2460484171777555,0
2500,286,418,2,6,34,3.5243064626559377,5.4141569776358,0
100,611,324,85,4,10,1.0849793905248686,5.464979153657654,0
2500,593,334,24,50,16,2.0849734794399506,2.9039266214790307,0
2000,467,357,77,12,15,4.134525315184461,2.7326607835186776,0
500,411,188,41,9,33,1.179443419194083,4.246841116021011,0
1000,618,352,79,50,31,4.180450769669373,2.0549439086078967,0
2000,674,451,64,11,17,1.3861548932497376,5.585348023868439,0
100,231,416,42,8,31,4.190274309485998,4.965717840136487,0
1500,442,161,71,34,28,2.327232268401028,4.5112266881558325,0
2500,552,544,67,23,23,2.451162597169666,2.094415625897416,1
2000,280,337,50,23,21,1.5627062621636099,5.410767476984942,0
100,372,480,33,45,6,1.870056432813076,2.046297044186418,0
3000,652,410,69,18,0,4.646858698081354,1.0955371840959618,0
1000,778,330,19,29,37,4.715984504616143,3.8190459881404593,1
3000,760,445,0,16,1,2.938490895000608,5.2779114658549195,1
2000,267,285,54,3,22,3.9708531212976657,4.936841672059684,0
1000,459,170,24,28,18,5.539793186917387,1.8229810432733902,0
500,538,385,27,49,21,1.9208040282991214,4.194592195028683,0
100,257,195,92,14,33,3.7011734121918156,5.017232795993419,0
3000,695,151,84,38,2,3.6767509552980395,2.657604476449598,0
3000,437,429,54,36,33,5.567519110976706,3.04022039837678,0
1500,468,586,22,14,4,2.832813118304217,2.7091208286367516,1
2500,419,426,48,0,5,1.8443820373770339,1.3124756521244372,0
2500,572,391,18,30,32,4.591187420186248,2.3045466707455007,0
1000,629,564,61,16,39,4.179002518277789,5.779406667570104,1
100,439,243,22,22,12,3.247983864549366,5.6375430114039204,0
2000,340,557,77,37,19,4.294818617819581,3.3217042537873898,1
2000,737,502,44,16,22,3.2886416539550583,3.233488927612432,1
2500,557,316,96,1,1,5.024643019452158,4.246764732956898,0
1500,795,543,49,39,3,3.68705118688714,4.485250044538404,1
1500,783,416,11,16,5,3.072917746077935,5.831557278894029,1
3000,646,254,75,0,27,2.1769331491765933,2.068661025915965,0
100,628,492,11,27,36,1.2699527739787473,2.910510271042585,0
50,411,529,34,8,7,1.4947329508596843,3.6517328159033355,1
50,301,452,54,12,3,4.6275418497824115,2.648061143273557,0
1000,765,201,92,43,39,1.584085129967837,4.6170328716492,1
1000,293,593,82,34,6,5.2718378537987896,3.853599521595079,1
2500,230,589,15,2,22,5.919249061731376,1.0216408099033016,1
500,342,528,66,22,32,3.5079799258264797,4.6485530232399075,1
500,591,250,43,16,40,4.4820665688840755,4.447685828649125,0
500,604,344,66,24,15,1.2897910812217792,5.254534038961248,0
2500,457,209,24,45,26,4.000326312298117,5.117379578533252,0
1500,639,493,1,46,29,5.076982703510164,3.3219476108753905,0
50,488,368,85,22,39,2.701073569205901,2.680699327876287,0
2500,578,437,53,6,37,5.879630567256376,4.939081431170518,0
2000,214,263,100,10,21,3.3503671463923115,4.3995171337719565,0
2500,739,559,5,34,20,4.466027797062013,2.2117870021452686,1
1500,635,206,88,43,14,1.3975024774663223,3.9170453200674764,0
1000,651,583,11,50,24,4.881782418877362,5.1324575667727945,1
3000,551,302,5,49,29,5.150588682783119,1.3948354321945642,0
50,297,551,77,24,7,3.0167588608007776,1.1900712884606726,1
50,300,573,38,21,28,3.558154265661106,1.02146740997501,1
500,336,344,85,45,21,4.447808151798133,2.19162924609066,0
500,714,414,84,41,25,4.296470136885202,4.159718709573154,1
50,437,204,38,6,10,5.663231302728771,2.8405657502772743,0
500,222,166,36,14,38,4.490296673920597,3.5310972342890286,0
1000,511,255,32,50,11,4.799291642632179,1.5960666342510206,0
3000,465,432,86,34,29,2.741919471906355,5.413393336767729,0
2000,514,153,68,45,16,4.530439496748322,3.789513125449398,0
50,216,422,19,20,40,3.5562126596594856,1.6796146574408386,0
3000,791,575,67,45,8,1.6811882297295047,1.6763436291454838,1
500,697,524,16,46,33,2.3643097318052586,2.665355736726375,1
1500,599,492,5,23,28,4.023799743040426,3.664558117432674,0
1500,538,443,55,31,20,4.411153680411653,3.9138210149935153,0
50,669,242,62,12,10,4.9223872280236085,2.4908999323860126,0
2500,434,445,2,20,5,3.049149420412747,5.182868019296018,0
2000,686,525,61,29,19,4.2721409710962455,1.652799448467386,1
3000,641,397,100,16,6,3.1587931597179413,1.7605405868381743,0
3000,648,368,7,9,7,1.3610975213666583,1.6221662268424994,0
2000,429,225,86,35,17,1.2993232177929472,5.7292687681837915,0
2000,497,309,5,47,7,5.9606420723481355,5.810653619754505,0
2000,430,357,47,35,28,2.9509463898508237,2.5892026787023026,0
2000,742,545,43,43,38,4.736649499358456,3.6513976129571275,1
100,792,269,68,14,7,3.394108459749909,2.9949833400545938,1
50,614,493,61,22,6,4.264141640631211,4.619082605735134,0
2500,692,165,96,18,25,4.454643979641915,3.6900855063842632,0
2000,598,499,95,19,7,4.326420144665821,2.3644126890344666,0
50,475,211,45,4,18,2.706700393418319,2.695464250281727,0
50,464,157,92,38,19,3.515597493747998,1.5004222867143744,0
2500,219,217,90,41,29,5.75498114053385,2.0033081234000467,0
2000,696,546,85,2,24,1.4958523658459624,5.147998656319471,1
100,581,521,86,29,15,3.803366475768731,1.6307007293734046,1
500,449,302,22,7,30,3.648580459411156,3.4423674790633316,0
3000,625,173,21,45,28,4.135947203233451,1.5556343935730745,0
2000,558,577,8,31,36,2.0937188160525784,3.261644197126454,1
1000,766,386,89,10,6,3.984006938113979,5.2778036368264525,1
1000,407,296,61,35,7,1.5729983897164126,4.9886463500678815,0
2500,457,190,100,38,2,2.098057229472171,3.3801277600486404,0
500,225,273,8,19,15,4.0377467537632805,4.806569400887775,0
100,209,541,3,31,15,4.3355531536915235,1.9675097953730971,1
1000,364,467,96,7,17,5.8823252074826,4.027459561188063,0
1500,782,520,94,15,8,2.239873935532454,1.1504984757860128,1
100,773,338,27,15,39,3.265156506901623,2.8692435604075275,1
2500,703,291,31,19,32,3.1763568878789026,2.3151203217443848,1
3000,507,547,23,16,30,5.8032752683375906,4.961664805388072,1
3000,540,183,100,40,16,5.107317916439901,3.4709855013701003,0
1500,579,453,97,0,32,2.089460192142584,2.1421880145950474,0
50,357,542,6,20,15,2.9876992748863493,2.7800926861709225,1
2500,763,385,45,31,33,1.0261954166477856,4.163662137827607,1
2000,576,502,80,36,36,4.320854784330629,4.439229753532707,1
100,660,543,45,13,1,4.205771263231142,5.562498038723337,1
1000,308,172,74,15,10,2.5514152834524757,4.749946711814857,0
50,689,463,17,12,27,4.662834690575836,3.9515239144894494,0
1000,257,531,35,2,12,3.9160594884787994,4.364859620711304,1
100,283,248,8,22,2,1.5023906915626357,4.008474894909224,0
50,613,159,85,17,27,1.1973036036459686,4.0027319195584035,0
2000,638,230,20,36,27,5.190332381836049,5.160418404550924,0
1500,733,335,73,37,29,1.493044703961374,2.953342205644808,1
1000,701,294,36,50,20,5.339889963690374,5.318151230923963,1
3000,607,281,39,38,10,3.967197293056189,5.0339282324753905,0
2000,621,458,36,36,11,5.671805059512383,3.3162767511252778,0
50,331,583,84,31,20,2.383522413468628,2.9121348127492,1
2500,698,504,6,41,37,4.530025112420999,5.022774435614601,1
1500,258,287,86,38,15,2.9747150735558643,5.819123330020204,0
1000,316,165,89,13,20,5.603424992287268,2.6119103262518877,0
500,571,597,66,9,6,2.259099446948195,2.7291575133464185,1
3000,656,241,93,36,22,1.6602087810003883,2.935578090676784,0
500,244,591,52,12,3,2.592888557507415,4.060042704957098,1
1500,796,396,56,27,13,1.8966254968771448,5.990227692432753,1
2000,229,453,26,10,7,4.1800413128294736,2.826116948577477,0
2000,415,198,86,2,14,5.037310772204896,5.111533791058382,0
1000,295,324,82,25,19,1.5813526076622144,2.724374861299516,0
1500,583,552,35,17,21,4.879672228248637,1.2264548145367944,1
2500,368,355,27,35,19,3.3605094520325878,2.746097414806429,0
1000,543,329,25,9,19,1.1337410971156232,4.004589854937691,0
50,695,173,26,27,2,3.3683809925805868,5.320369712147254,0
3000,733,485,6,44,6,1.5465170111420208,5.390289636704901,1
100,425,492,56,49,40,4.074661216665982,4.692290299642256,0
100,710,464,8,29,32,3.3212399580712164,1.666307995892101,1
2000,308,492,74,25,26,4.067570835380754,3.8673782266352688,0
50,466,227,47,13,38,1.3309573970982278,5.456928232228568,0
500,629,517,62,18,10,2.267596485629678,4.524040597320758,1
1500,315,515,52,27,36,5.284672739137341,4.127221360141101,1
50,747,490,99,37,3,4.6480945193318135,2.498734827963366,1
500,237,391,35,27,13,2.8265086393235856,5.311690218820556,0
1500,581,177,81,43,31,1.9118325570312207,2.890657831319545,0
